"","Sequence_ID","depth","mean_coverage","Extract_ID","Sample_ID","Seq_ID","Library_Tube","Library_Tube_ID","Library_Barcode","F_Primer","R_Primer","Run_ID","Final_Lib_Conc_ng_uL","Vol_Added_Pool_uL","Full_Seq_ID","Kit","Sequencer","MinION_Position","Flow_Cell_Type","Flongle_Adapter","Flow_Cell_ID","Run_Date","Loaded_By","Pipeline","Extract_Type","Extract_Date","Extracted_By","Extract_Conc_ng_uL","Extract_Kit","Extract_Box","Extract_Notes","Date","Study_Day","Sample_Time","Subject","Sample_Collected_By","Bristol","Sample_Stabilizer","Sample_Box","Sample_Notes","Diet_Trial","Group_Phase","Subj_Day","Group","Room","Cage","Subject_Code","Sex","Housing","Origin","Subj_DOB","Age","Contraception","Previous_Exp","Subject_Notes"
"93","GRO-41-MGE-L190",10,0.9138,"DNA1-GRO-41-MGE","GRO-41-MGE","CM001",31,"L190","barcode31","27F","1391R","MIN_16_2023-12-21",8.3,2.4,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-18,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-04-19,"41",08:00:00,"Grogu","SA",2,"Molecular Grade (96%) Ethanol",13,"","washout_1","control-washout","Grogu_41","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"94","GRO-41-MGE-S7",54671,0.971,"DNA1-GRO-41-MGE","GRO-41-MGE","CM002",7,"S7","barcode07","27F","1492R","MIN_16_2024-2-12",6.9,0.6,"16S_UNO-CM-002","SQK-16S024","Angel-MinION","MN43747","FLO-MIN114","","FAX08980",2024-02-12,"SA","16S_RAP","DNA",2023-08-18,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-04-19,"41",08:00:00,"Grogu","SA",2,"Molecular Grade (96%) Ethanol",13,"","washout_1","control-washout","Grogu_41","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"95","GRO-42-MGE-S291",18057,0.9659,"DNA1-GRO-42-MGE","GRO-42-MGE","CM014",15,"S291","barcode15","27F","1492R","MIN_16_2025-4-2",4.95,0.8,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-06-17,"SA","43","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-20,"42",08:00:00,"Grogu","SA",2,"Molecular Grade (96%) Ethanol",13,"collected from bedding","washout_1","control-washout","Grogu_42","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"96","GRO-44-DRS-S68",3125,0.9513,"DNA1-GRO-44-DRS","GRO-44-DRS","CM004",22,"S68","barcode22","27F","1492R","MIN_16_2024-2-29",7.8,0.5,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-15,"SA","6.4","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-22,"44",08:00:00,"Grogu","SA",3,"DNA/RNA Shield",14,"","intervention_2","gum","Grogu_44","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"97","GRO-45-MGE-S128",8887,0.9605,"DNA1-GRO-45-MGE","GRO-45-MGE","CM007",13,"S128","barcode13","27F","1492R","MIN_16_2024-5-21",1.66,2.4,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2024-03-08,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-23,"45",08:00:00,"Grogu","SA",3,"Molecular Grade (96%) Ethanol",15,"","intervention_2","gum","Grogu_45","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"98","GRO-46-DRS-S59",2293,0.956,"DNA1-GRO-46-DRS","GRO-46-DRS","CM004",13,"S59","barcode13","27F","1492R","MIN_16_2024-2-29",6.3,0.6,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-10,"SA","8.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-24,"46",08:00:00,"Grogu","SA/GR",3,"DNA/RNA Shield",16,"","intervention_2","gum","Grogu_46","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"99","GRO-46-MGE-S60",3073,0.9599,"DNA1-GRO-46-MGE","GRO-46-MGE","CM004",14,"S60","barcode14","27F","1492R","MIN_16_2024-2-29",7.3,0.6,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-10,"SA","6.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-24,"46",08:00:00,"Grogu","SA/GR",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Grogu_46","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"100","GRO-48-MGE-S278",19529,0.9691,"DNA1-GRO-48-MGE","GRO-48-MGE","CM014",2,"S278","barcode02","27F","1492R","MIN_16_2025-4-2",7.7,0.5,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-03-04,"SA","109","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-26,"48",08:00:00,"Grogu","SA/GR",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Grogu_48","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"101","GRO-50-MGE-S201",7815,0.9725,"DNA1-GRO-50-MGE","GRO-50-MGE","CM010",17,"S201","barcode17","27F","1492R","MIN_16_2024-7-21",5.4,0.7,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-04-30,"SA","9.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-28,"50",08:00:00,"Grogu","SA/GR",3,"Molecular Grade (96%) Ethanol",18,"","intervention_2","gum","Grogu_50","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"102","GRO-52-MGE-S299",22575,0.9686,"DNA1-GRO-52-MGE","GRO-52-MGE","CM014",23,"S299","barcode23","27F","1492R","MIN_16_2025-4-2",8.8,0.5,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-09-09,"SA","36","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-30,"52",08:00:00,"Grogu","SA",3,"Molecular Grade (96%) Ethanol",18,"","intervention_2","gum","Grogu_52","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"103","GRO-56-MGE-S151",8272,0.9719,"DNA1-GRO-56-MGE","GRO-56-MGE","CM008",13,"S151","barcode13","27F","1492R","MIN_16_2024-6-11",7.5,0.5,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-03-25,"SA","7","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-05-04,"56",08:00:00,"Grogu","SA",3,"Molecular Grade (96%) Ethanol",20,"","intervention_2","gum","Grogu_56","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"104","GRO-70-DRS-L217",25739,0.9274,"DNA1-GRO-70-DRS","GRO-70-DRS","CM001",44,"L217","barcode44","27F","1391R","MIN_16_2023-12-21",3.51,5.6,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-09-15,"SA","21","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-05-18,"70",07:30:00,"Grogu","SA",3,"DNA/RNA Shield",27,"","washout_2","gum-washout","Grogu_70","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"105","GRO-9-MGE-S229",6916,0.9735,"DNA1-GRO-9-MGE","GRO-9-MGE","CM011",22,"S229","barcode22","27F","1492R","MIN_16_2025-1-23",4.57,0.9,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-28,"SA/TSP","5.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-18,"9",08:00:00,"Grogu","SA",3,"Molecular Grade (96%) Ethanol",3,"","baseline","run-in","Grogu_9","Group2","RoomF","F4","GRO","Male","Pair","Texas",2018-08-10,4.583561644,"","",""
"106","HAM-11-MGE-S205",8411,0.9725,"DNA1-HAM-11-MGE","HAM-11-MGE","CM010",21,"S205","barcode21","27F","1492R","MIN_16_2024-7-21",4.69,0.9,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-05-07,"SA","17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-03-20,"11",07:30:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",3,"","baseline","run-in","Hamlet_11","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"107","HAM-17-MGE-L175",2,0.9246,"DNA1-HAM-17-MGE","HAM-17-MGE","CM001",22,"L175","barcode22","27F","1391R","MIN_16_2023-12-21",8.2,2.4,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-18,"SA","9.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-03-26,"17",07:30:00,"Hamlet","SA",3,"Molecular Grade (96%) Ethanol",3,"","intervention_1","gum","Hamlet_17","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"108","HAM-17-MGE-S5",11,0.9421,"DNA1-HAM-17-MGE","HAM-17-MGE","CM002",5,"S5","barcode05","27F","1492R","MIN_16_2024-2-12",1.64,2.4,"16S_UNO-CM-002","SQK-16S024","Angel-MinION","MN43747","FLO-MIN114","","FAX08980",2024-02-12,"SA","16S_RAP","DNA",2023-08-18,"SA","9.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-03-26,"17",07:30:00,"Hamlet","SA",3,"Molecular Grade (96%) Ethanol",3,"","intervention_1","gum","Hamlet_17","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"109","HAM-18-MGE-S157",6628,0.9721,"DNA1-HAM-18-MGE","HAM-18-MGE","CM008",19,"S157","barcode19","27F","1492R","MIN_16_2024-6-11",1.43,2.8,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-04-23,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-03-27,"18",08:00:00,"Hamlet","SA/GR",2,"Molecular Grade (96%) Ethanol",4,"","intervention_1","gum","Hamlet_18","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"110","HAM-20-MGE-S235",5138,0.968,"DNA1-HAM-20-MGE","HAM-20-MGE","CM012",5,"S235","barcode05","27F","1492R","MIN_16_2025-2-21",2.37,1.7,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP","DNA",2024-05-28,"SA/TSP","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-29,"20",07:30:00,"Hamlet","SA",1,"Molecular Grade (96%) Ethanol",4,"","intervention_1","gum","Hamlet_20","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"111","HAM-21-MGE-S256",9693,0.9595,"DNA1-HAM-21-MGE","HAM-21-MGE","CM013",3,"S256","barcode03","27F","1492R","MIN_16_2025-4-1",5.6,0.7,"16S_UNO-CM-013","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWD252",2025-04-01,"SA/TSP","16S_RAP","DNA",2024-08-07,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-30,"21",08:00:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",5,"","intervention_1","gum","Hamlet_21","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"112","HAM-22-MGE-S44",11296,0.9576,"DNA1-HAM-22-MGE","HAM-22-MGE","CM003",21,"S44","barcode21","27F","1492R","MIN_16_2024-3-6",4.71,0.9,"16S_UNO-CM-003","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM773",2024-03-06,"SA","16S_RAP","DNA",2023-11-01,"SA/SK","9.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-03-31,"22",08:00:00,"Hamlet","SA/GR",2,"Molecular Grade (96%) Ethanol",5,"","intervention_1","gum","Hamlet_22","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"113","HAM-23-MGE-S140",5999,0.9756,"DNA1-HAM-23-MGE","HAM-23-MGE","CM008",2,"S140","barcode02","27F","1492R","MIN_16_2024-6-11",1.03,3.9,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-03-21,"SA","4.66","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-01,"23",08:00:00,"Hamlet","SA",5,"Molecular Grade (96%) Ethanol",5,"","intervention_1","gum","Hamlet_23","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"114","HAM-25-MGE-S190",3310,0.9705,"DNA1-HAM-25-MGE","HAM-25-MGE","CM010",6,"S190","barcode06","27F","1492R","MIN_16_2024-7-21",2.15,1.9,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-04-23,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-03,"25",08:00:00,"Hamlet","SA/GR",2,"Molecular Grade (96%) Ethanol",6,"","intervention_1","gum","Hamlet_25","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"115","HAM-31-MGE-S32",10844,0.9604,"DNA1-HAM-31-MGE","HAM-31-MGE","CM003",9,"S32","barcode09","27F","1492R","MIN_16_2024-3-6",5.2,0.8,"16S_UNO-CM-003","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM773",2024-03-06,"SA","16S_RAP","DNA",2023-10-11,"SA/SK","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-04-09,"31",07:00:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",9,"","washout_1","gum-washout","Hamlet_31","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"116","HAM-4-DRS-L132",3,0.923,"DNA1-HAM-4-DRS","HAM-4-DRS","CM001",5,"L132","barcode05","27F","1391R","MIN_16_2023-12-21",5,3.9,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-03,"SA","88","Quick-DNA Fecal/Soil Microbe","DNA Extracts 5","",2023-03-13,"4",08:00:00,"Hamlet","SA",1,"DNA/RNA Shield",1,"","baseline","run-in","Hamlet_4","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"117","HAM-4-MGE-L133",2,0.9349,"DNA1-HAM-4-MGE","HAM-4-MGE","CM001",6,"L133","barcode06","27F","1391R","MIN_16_2023-12-21",11,1.8,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-03,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 5","",2023-03-13,"4",08:00:00,"Hamlet","SA",1,"Molecular Grade (96%) Ethanol",1,"","baseline","run-in","Hamlet_4","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"118","HAM-41-DRS-S63",8001,0.9596,"DNA1-HAM-41-DRS","HAM-41-DRS","CM004",17,"S63","barcode17","27F","1492R","MIN_16_2024-2-29",5.3,0.8,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-15,"SA","17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-19,"41",07:30:00,"Hamlet","SA",2,"DNA/RNA Shield",13,"","washout_1","gum-washout","Hamlet_41","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"119","HAM-41-MGE-S64",7037,0.9609,"DNA1-HAM-41-MGE","HAM-41-MGE","CM004",18,"S64","barcode18","27F","1492R","MIN_16_2024-2-29",6,0.7,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-15,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-19,"41",07:30:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",13,"","washout_1","gum-washout","Hamlet_41","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"120","HAM-45-MGE-S219",5939,0.971,"DNA1-HAM-45-MGE","HAM-45-MGE","CM011",12,"S219","barcode12","27F","1492R","MIN_16_2025-1-23",6.4,0.6,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-21,"SA","9.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-23,"45",07:30:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",15,"","intervention_2","control","Hamlet_45","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"121","HAM-46-MGE-S243",5813,0.9643,"DNA1-HAM-46-MGE","HAM-46-MGE","CM012",13,"S243","barcode13","27F","1492R","MIN_16_2025-2-21",6.5,0.6,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP","DNA",2024-06-17,"SA","20","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-24,"46",07:30:00,"Hamlet","SA/GR",2,"Molecular Grade (96%) Ethanol",15,"","intervention_2","control","Hamlet_46","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"122","HAM-48-MGE-S298",15827,0.9694,"DNA1-HAM-48-MGE","HAM-48-MGE","CM014",22,"S298","barcode22","27F","1492R","MIN_16_2025-4-2",2.73,1.5,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-08-16,"AS","30","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-26,"48",07:30:00,"Hamlet","SA/GR",2,"Molecular Grade (96%) Ethanol",16,"","intervention_2","control","Hamlet_48","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"123","HAM-59-MGE-S182",18779,0.9734,"DNA1-HAM-59-MGE","HAM-59-MGE","CM009",21,"S182","barcode21","27F","1492R","MIN_16_2024-7-19",3.21,1.3,"16S_UNO-CM-009","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI598",2024-07-19,"SA","16S_RAP","DNA",2023-06-28,"SA","3.47","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","",2023-05-07,"59",07:30:00,"Hamlet","SA",2,"Molecular Grade (96%) Ethanol",22,"","washout_2","control-washout","Hamlet_59","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"124","HAM-67-DRS-L207",2,0.9377,"DNA1-HAM-67-DRS","HAM-67-DRS","CM001",39,"L207","barcode39","27F","1391R","MIN_16_2023-12-21",3.25,6,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-29,"SA","28","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-05-15,"67",07:30:00,"Hamlet","SA/GR",2,"DNA/RNA Shield",25,"","washout_2","control-washout","Hamlet_67","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"125","HAM-67-MGE-L208",16885,0.9234,"DNA1-HAM-67-MGE","HAM-67-MGE","CM001",40,"L208","barcode40","27F","1391R","MIN_16_2023-12-21",2.35,8.4,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-29,"SA","19","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-05-15,"67",07:30:00,"Hamlet","SA/GR",2,"Molecular Grade (95%) Ethanol",25,"","washout_2","control-washout","Hamlet_67","Group1","RoomB","B1","HAM","Male","Pair","Nebraska",2017-03-05,6.016438356,"","",""
"126","HEN-22-MGE-S238",5650,0.9679,"DNA1-HEN-22-MGE","HEN-22-MGE","CM012",8,"S238","barcode08","27F","1492R","MIN_16_2025-2-21",4.24,0.9,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP","DNA",2024-05-28,"SA/TSP","8.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-31,"22",07:30:00,"Henry","SA/GR",2,"Molecular Grade (96%) Ethanol",5,"","intervention_1","control","Henry_22","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"127","HEN-24-MGE-S215",4897,0.9689,"DNA1-HEN-24-MGE","HEN-24-MGE","CM011",8,"S215","barcode08","27F","1492R","MIN_16_2025-1-23",3.37,1.2,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-07,"SA","4.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-02,"24",07:30:00,"Henry","SA",2,"Molecular Grade (96%) Ethanol",6,"","intervention_1","control","Henry_24","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"128","HEN-25-MGE-S264",8998,0.963,"DNA1-HEN-25-MGE","HEN-25-MGE","CM013",11,"S264","barcode11","27F","1492R","MIN_16_2025-4-1",5.2,0.8,"16S_UNO-CM-013","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWD252",2025-04-01,"SA/TSP","16S_RAP","DNA",2024-08-09,"AS","0.727","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-03,"25",07:30:00,"Henry","SA/GR",2,"Molecular Grade (96%) Ethanol",6,"","intervention_1","control","Henry_25","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"129","HEN-29-MGE-S162",17815,0.9736,"DNA1-HEN-29-MGE","HEN-29-MGE","CM009",1,"S162","barcode01","27F","1492R","MIN_16_2024-7-19",3.57,1.1,"16S_UNO-CM-009","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI598",2024-07-19,"SA","16S_RAP","DNA",2023-06-16,"SA","2.04","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","",2023-04-07,"29",07:30:00,"Henry","SA/GR",3,"Molecular Grade (96%) Ethanol",8,"","washout_1","control-washout","Henry_29","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"130","HEN-36-MGE-S62",12716,0.9594,"DNA1-HEN-36-MGE","HEN-36-MGE","CM004",16,"S62","barcode16","27F","1492R","MIN_16_2024-2-29",3.12,1.3,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-15,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-14,"36",08:00:00,"Henry","SA/GR",2,"Molecular Grade (96%) Ethanol",12,"","washout_1","control-washout","Henry_36","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"131","HEN-42-MGE-S126",8492,0.9623,"DNA1-HEN-42-MGE","HEN-42-MGE","CM007",11,"S126","barcode11","27F","1492R","MIN_16_2024-5-21",7.6,0.5,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2024-03-08,"SA","7.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-20,"42",08:00:00,"Henry","SA",2,"Molecular Grade (96%) Ethanol",13,"collected from bedding","washout_1","control-washout","Henry_42","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"132","HEN-45-MGE-S221",4895,0.9669,"DNA1-HEN-45-MGE","HEN-45-MGE","CM011",14,"S221","barcode14","27F","1492R","MIN_16_2025-1-23",4.07,1,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-21,"SA","6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-23,"45",08:00:00,"Henry","SA",3,"Molecular Grade (96%) Ethanol",15,"","intervention_2","gum","Henry_45","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
"133","HEN-48-MGE-S198",4384,0.9671,"DNA1-HEN-48-MGE","HEN-48-MGE","CM010",14,"S198","barcode14","27F","1492R","MIN_16_2024-7-21",2.08,1.9,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-04-30,"SA","2.76","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-26,"48",08:00:00,"Henry","SA/GR",3,"Molecular Grade (96%) Ethanol",17,"","intervention_2","gum","Henry_48","Group2","RoomF","F6","HEN","Male","Pair","Nebraska",2018-12-25,4.208219178,"","",""
