Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL
JOA-51-MGE-S119	DNA1-JOA-51-MGE	JOA-51-MGE	CM007	4	S119	barcode04	27F	1492R	MIN_16_2024-5-21	1.46	2.8
LAM-37-MGE-S120	DNA1-LAM-37-MGE	LAM-37-MGE	CM007	5	S120	barcode05	27F	1492R	MIN_16_2024-5-21	0.926	4.3
GOO-44-MGE-S121	DNA1-GOO-44-MGE	GOO-44-MGE	CM007	6	S121	barcode06	27F	1492R	MIN_16_2024-5-21	0.541	7.4
JOA-44-MGE-S122	DNA1-JOA-44-MGE	JOA-44-MGE	CM007	7	S122	barcode07	27F	1492R	MIN_16_2024-5-21	1.27	3.2
IVY-46-MGE-S123	DNA1-IVY-46-MGE	IVY-46-MGE	CM007	8	S123	barcode08	27F	1492R	MIN_16_2024-5-21	3.63	1.1
KUB-48-MGE-S124	DNA1-KUB-48-MGE	KUB-48-MGE	CM007	9	S124	barcode09	27F	1492R	MIN_16_2024-5-21	2.06	2
FRA-49-MGE-S125	DNA1-FRA-49-MGE	FRA-49-MGE	CM007	10	S125	barcode10	27F	1492R	MIN_16_2024-5-21	0.662	6.1
HEN-42-MGE-S126	DNA1-HEN-42-MGE	HEN-42-MGE	CM007	11	S126	barcode11	27F	1492R	MIN_16_2024-5-21	7.6	0.5
HER-45-MGE-S127	DNA1-HER-45-MGE	HER-45-MGE	CM007	12	S127	barcode12	27F	1492R	MIN_16_2024-5-21	5.2	0.8
GRO-45-MGE-S128	DNA1-GRO-45-MGE	GRO-45-MGE	CM007	13	S128	barcode13	27F	1492R	MIN_16_2024-5-21	1.66	2.4
OPH-49-MGE-S129	DNA1-OPH-49-MGE	OPH-49-MGE	CM007	14	S129	barcode14	27F	1492R	MIN_16_2024-5-21	0.581	6.9
GIN-49-MGE-S130	DNA1-GIN-49-MGE	GIN-49-MGE	CM007	15	S130	barcode15	27F	1492R	MIN_16_2024-5-21	2.82	1.4
CHA-51-MGE-S131	DNA1-CHA-51-MGE	CHA-51-MGE	CM007	16	S131	barcode16	27F	1492R	MIN_16_2024-5-21	1.9	2.1
KUB-30-MGE-S132	DNA1-KUB-30-MGE	KUB-30-MGE	CM007	17	S132	barcode17	27F	1492R	MIN_16_2024-5-21	3.63	1.1
GIN-47-MGE-S133	DNA1-GIN-47-MGE	GIN-47-MGE	CM007	18	S133	barcode18	27F	1492R	MIN_16_2024-5-21	5.7	0.7
KOR-49-MGE-S134	DNA1-KOR-49-MGE	KOR-49-MGE	CM007	19	S134	barcode19	27F	1492R	MIN_16_2024-5-21	0.0917	43.8
HEN-59-MGE-S135	DNA1-HEN-59-MGE	HEN-59-MGE	CM007	20	S135	barcode20	27F	1492R	MIN_16_2024-5-21	4.32	0.9
WOL-60-MGE-S136	DNA1-WOL-60-MGE	WOL-60-MGE	CM007	21	S136	barcode21	27F	1492R	MIN_16_2024-5-21	3.18	1.3
JOA-62-MGE-S137	DNA1-JOA-62-MGE	JOA-62-MGE	CM007	22	S137	barcode22	27F	1492R	MIN_16_2024-5-21	4.89	0.8
FRA-22-MGE-S138	DNA1-FRA-22-MGE	FRA-22-MGE	CM007	23	S138	barcode23	27F	1492R	MIN_16_2024-5-21	5.1	0.8
CM-NTC-007	NTC	NTC7	CM007	24	CTRL	barcode24	27F	1492R	MIN_16_2024-5-21	0.0157	255.9
GOO-22-MGE-S139	DNA1-GOO-22-MGE	GOO-22-MGE	CM008	1	S139	barcode01	27F	1492R	MIN_16_2024-6-11	5.6	0.7
HAM-23-MGE-S140	DNA1-HAM-23-MGE	HAM-23-MGE	CM008	2	S140	barcode02	27F	1492R	MIN_16_2024-6-11	1.03	3.9
IRI-23-MGE-S141	DNA1-IRI-23-MGE	IRI-23-MGE	CM008	3	S141	barcode03	27F	1492R	MIN_16_2024-6-11	1.72	2.3
HER-24-MGE-S142	DNA1-HER-24-MGE	HER-24-MGE	CM008	4	S142	barcode04	27F	1492R	MIN_16_2024-6-11	2.37	1.7
JOA-24-MGE-S143	DNA1-JOA-24-MGE	JOA-24-MGE	CM008	5	S143	barcode05	27F	1492R	MIN_16_2024-6-11	1.05	3.8
BUD-52-MGE-S144	DNA1-BUD-52-MGE	BUD-52-MGE	CM008	6	S144	barcode06	27F	1492R	MIN_16_2024-6-11	1.73	2.3
GIN-52-MGE-S145	DNA1-GIN-52-MGE	GIN-52-MGE	CM008	7	S145	barcode07	27F	1492R	MIN_16_2024-6-11	3.87	1
HER-53-MGE-S146	DNA1-HER-53-MGE	HER-53-MGE	CM008	8	S146	barcode08	27F	1492R	MIN_16_2024-6-11	1.43	2.8
FRA-53-MGE-S147	DNA1-FRA-53-MGE	FRA-53-MGE	CM008	9	S147	barcode09	27F	1492R	MIN_16_2024-6-11	1.68	2.4
MAR-53-MGE-S148	DNA1-MAR-53-MGE	MAR-53-MGE	CM008	10	S148	barcode10	27F	1492R	MIN_16_2024-6-11	2.76	1.5
LAM-55-MGE-S149	DNA1-LAM-55-MGE	LAM-55-MGE	CM008	11	S149	barcode11	27F	1492R	MIN_16_2024-6-11	2.21	1.8
CHA-55-MGE-S150	DNA1-CHA-55-MGE	CHA-55-MGE	CM008	12	S150	barcode12	27F	1492R	MIN_16_2024-6-11	3.49	1.2
GRO-56-MGE-S151	DNA1-GRO-56-MGE	GRO-56-MGE	CM008	13	S151	barcode13	27F	1492R	MIN_16_2024-6-11	7.5	0.5
JOA-56-MGE-S152	DNA1-JOA-56-MGE	JOA-56-MGE	CM008	14	S152	barcode14	27F	1492R	MIN_16_2024-6-11	2.71	1.5
WOL-58-MGE-S153	DNA1-WOL-58-MGE	WOL-58-MGE	CM008	15	S153	barcode15	27F	1492R	MIN_16_2024-6-11	4.6	0.9
JOA-60-MGE-S154	DNA1-JOA-60-MGE	JOA-60-MGE	CM008	16	S154	barcode16	27F	1492R	MIN_16_2024-6-11	1.61	2.5
IRI-17-MGE-S155	DNA1-IRI-17-MGE	IRI-17-MGE	CM008	17	S155	barcode17	27F	1492R	MIN_16_2024-6-11	2.17	1.9
LAM-17-MGE-S156	DNA1-LAM-17-MGE	LAM-17-MGE	CM008	18	S156	barcode18	27F	1492R	MIN_16_2024-6-11	2.7	1.5
HAM-18-MGE-S157	DNA1-HAM-18-MGE	HAM-18-MGE	CM008	19	S157	barcode19	27F	1492R	MIN_16_2024-6-11	1.43	2.8
WOL-18-MGE-S158	DNA1-WOL-18-MGE	WOL-18-MGE	CM008	20	S158	barcode20	27F	1492R	MIN_16_2024-6-11	1.71	2.3
OPH-19-MGE-S159	DNA1-OPH-19-MGE	OPH-19-MGE	CM008	21	S159	barcode21	27F	1492R	MIN_16_2024-6-11	2.54	1.6
FRA-19-MGE-S160	DNA1-FRA-19-MGE	FRA-19-MGE	CM008	22	S160	barcode22	27F	1492R	MIN_16_2024-6-11	4.48	0.9
GOO-20-MGE-S161	DNA1-GOO-20-MGE	GOO-20-MGE	CM008	23	S161	barcode23	27F	1492R	MIN_16_2024-6-11	3.48	1.2
CM-NTC-008	NTC	NTC8	CM008	24	CTRL	barcode24	27F	1492R	MIN_16_2024-6-11	0.668	6
HEN-29-MGE-S162	DNA1-HEN-29-MGE	HEN-29-MGE	CM009	1	S162	barcode01	27F	1492R	MIN_16_2024-7-19	3.57	1.1
WOL-1-MGE-S163	DNA1-WOL-1-MGE	WOL-1-MGE	CM009	2	S163	barcode02	27F	1492R	MIN_16_2024-7-19	1.84	2.2
IVY-29-MGE-S164	DNA1-IVY-29-MGE	IVY-29-MGE	CM009	3	S164	barcode03	27F	1492R	MIN_16_2024-7-19	5.4	0.7
BUD-57-MGE-S165	DNA1-BUD-57-MGE	BUD-57-MGE	CM009	4	S165	barcode04	27F	1492R	MIN_16_2024-7-19	5.2	0.8
JOA-57-MGE-S166	DNA1-JOA-57-MGE	JOA-57-MGE	CM009	5	S166	barcode05	27F	1492R	MIN_16_2024-7-19	0.849	4.7
IRI-59-MGE-S167	DNA1-IRI-59-MGE	IRI-59-MGE	CM009	6	S167	barcode06	27F	1492R	MIN_16_2024-7-19	1.82	2.2
KOR-29-MGE-S168	DNA1-KOR-29-MGE	KOR-29-MGE	CM009	7	S168	barcode07	27F	1492R	MIN_16_2024-7-19	2.92	1.4
WOL-37-MGE-S169	DNA1-WOL-37-MGE	WOL-37-MGE	CM009	8	S169	barcode08	27F	1492R	MIN_16_2024-7-19	3.43	1.2
JOA-14-MGE-S170	DNA1-JOA-14-MGE	JOA-14-MGE	CM009	9	S170	barcode09	27F	1492R	MIN_16_2024-7-19	6.7	0.6
GIN-27-MGE-S171	DNA1-GIN-27-MGE	GIN-27-MGE	CM009	10	S171	barcode10	27F	1492R	MIN_16_2024-7-19	3.1	1.3
OPH-57-MGE-S172	DNA1-OPH-57-MGE	OPH-57-MGE	CM009	11	S172	barcode11	27F	1492R	MIN_16_2024-7-19	4.89	0.8
HEN-66-MGE-S173	DNA1-HEN-66-MGE	HEN-66-MGE	CM009	12	S173	barcode12	27F	1492R	MIN_16_2024-7-19	3.61	1.1
GIN-2-MGE-S174	DNA1-GIN-2-MGE	GIN-2-MGE	CM009	13	S174	barcode13	27F	1492R	MIN_16_2024-7-19	3.33	1.2
HER-1-MGE-S175	DNA1-HER-1-MGE	HER-1-MGE	CM009	14	S175	barcode14	27F	1492R	MIN_16_2024-7-19	7.9	0.5
JAR-15-MGE-S176	DNA1-JAR-15-MGE	JAR-15-MGE	CM009	15	S176	barcode15	27F	1492R	MIN_16_2024-7-19	7.7	0.5
GIN-29-MGE-S177	DNA1-GIN-29-MGE	GIN-29-MGE	CM009	16	S177	barcode16	27F	1492R	MIN_16_2024-7-19	7.9	0.5
OPH-43-MGE-S178	DNA1-OPH-43-MGE	OPH-43-MGE	CM009	17	S178	barcode17	27F	1492R	MIN_16_2024-7-19	6.5	0.6
WOL-57-MGE-S179	DNA1-WOL-57-MGE	WOL-57-MGE	CM009	18	S179	barcode18	27F	1492R	MIN_16_2024-7-19	7.4	0.5
KUB-15-MGE-S180	DNA1-KUB-15-MGE	KUB-15-MGE	CM009	19	S180	barcode19	27F	1492R	MIN_16_2024-7-19	2.54	1.6
JOA-29-MGE-S181	DNA1-JOA-29-MGE	JOA-29-MGE	CM009	20	S181	barcode20	27F	1492R	MIN_16_2024-7-19	6.1	0.7
HAM-59-MGE-S182	DNA1-HAM-59-MGE	HAM-59-MGE	CM009	21	S182	barcode21	27F	1492R	MIN_16_2024-7-19	3.21	1.3
IVY-70-MGE-S183	DNA1-IVY-70-MGE	IVY-70-MGE	CM009	22	S183	barcode22	27F	1492R	MIN_16_2024-7-19	3.13	1.3
JAR-29-MGE-S184	DNA1-JAR-29-MGE	JAR-29-MGE	CM009	23	S184	barcode23	27F	1492R	MIN_16_2024-7-19	4.38	0.9
CM-NTC-009	NTC	NTC9	CM009	24	CTRL	barcode24	27F	1492R	MIN_16_2024-7-19	2.27	1.8
JAR-21-MGE-S185	DNA1-JAR-21-MGE	JAR-21-MGE	CM010	1	S185	barcode01	27F	1492R	MIN_16_2024-7-21	7	0.6
KUB-21-MGE-S186	DNA1-KUB-21-MGE	KUB-21-MGE	CM010	2	S186	barcode02	27F	1492R	MIN_16_2024-7-21	2.54	1.6
KOR-21-MGE-S187	DNA1-KOR-21-MGE	KOR-21-MGE	CM010	3	S187	barcode03	27F	1492R	MIN_16_2024-7-21	3.5	1.1
IRI-22-MGE-S188	DNA1-IRI-22-MGE	IRI-22-MGE	CM010	4	S188	barcode04	27F	1492R	MIN_16_2024-7-21	4.44	0.9
GRO-22-MGE-S189	DNA1-GRO-22-MGE	GRO-22-MGE	CM010	5	S189	barcode05	27F	1492R	MIN_16_2024-7-21	2.92	1.4
HAM-25-MGE-S190	DNA1-HAM-25-MGE	HAM-25-MGE	CM010	6	S190	barcode06	27F	1492R	MIN_16_2024-7-21	2.15	1.9
LAM-25-MGE-S191	DNA1-LAM-25-MGE	LAM-25-MGE	CM010	7	S191	barcode07	27F	1492R	MIN_16_2024-7-21	2.31	1.7
BUD-44-MGE-S192	DNA1-BUD-44-MGE	BUD-44-MGE	CM010	8	S192	barcode08	27F	1492R	MIN_16_2024-7-21	3.85	1
WOL-17-MGE-S193	DNA1-WOL-17-MGE	WOL-17-MGE	CM010	9	S193	barcode09	27F	1492R	MIN_16_2024-7-21	5.5	0.7
GIN-46-MGE-S194	DNA1-GIN-46-MGE	GIN-46-MGE	CM010	10	S194	barcode10	27F	1492R	MIN_16_2024-7-21	2.02	2
FRA-47-MGE-S195	DNA1-FRA-47-MGE	FRA-47-MGE	CM010	11	S195	barcode11	27F	1492R	MIN_16_2024-7-21	3.92	1
IVY-47-MGE-S196	DNA1-IVY-47-MGE	IVY-47-MGE	CM010	12	S196	barcode12	27F	1492R	MIN_16_2024-7-21	2.44	1.6
KOR-48-MGE-S197	DNA1-KOR-48-MGE	KOR-48-MGE	CM010	13	S197	barcode13	27F	1492R	MIN_16_2024-7-21	3.78	1.1
HEN-48-MGE-S198	DNA1-HEN-48-MGE	HEN-48-MGE	CM010	14	S198	barcode14	27F	1492R	MIN_16_2024-7-21	2.08	1.9
MAR-49-MGE-S199	DNA1-MAR-49-MGE	MAR-49-MGE	CM010	15	S199	barcode15	27F	1492R	MIN_16_2024-7-21	2.87	1.4
JOA-49-MGE-S200	DNA1-JOA-49-MGE	JOA-49-MGE	CM010	16	S200	barcode16	27F	1492R	MIN_16_2024-7-21	1.7	2.4
GRO-50-MGE-S201	DNA1-GRO-50-MGE	GRO-50-MGE	CM010	17	S201	barcode17	27F	1492R	MIN_16_2024-7-21	5.4	0.7
GIN-50-MGE-S202	DNA1-GIN-50-MGE	GIN-50-MGE	CM010	18	S202	barcode18	27F	1492R	MIN_16_2024-7-21	2.56	1.6
OPH-9-MGE-S203	DNA1-OPH-9-MGE	OPH-9-MGE	CM010	19	S203	barcode19	27F	1492R	MIN_16_2024-7-21	2.32	1.7
CHA-9-MGE-S204	DNA1-CHA-9-MGE	CHA-9-MGE	CM010	20	S204	barcode20	27F	1492R	MIN_16_2024-7-21	3.42	1.2
HAM-11-MGE-S205	DNA1-HAM-11-MGE	HAM-11-MGE	CM010	21	S205	barcode21	27F	1492R	MIN_16_2024-7-21	4.69	0.9
BUD-11-MGE-S206	DNA1-BUD-11-MGE	BUD-11-MGE	CM010	22	S206	barcode22	27F	1492R	MIN_16_2024-7-21	5.1	0.8
JAR-14-MGE-S207	DNA1-JAR-14-MGE	JAR-14-MGE	CM010	23	S207	barcode23	27F	1492R	MIN_16_2024-7-21	2.85	1.4
CM-NTC-010	NTC	NTC10	CM010	24	CTRL	barcode24	27F	1492R	MIN_16_2024-7-21	0.783	5.1
IVY-17-MGE-S208	DNA1-IVY-17-MGE	IVY-17-MGE	CM011	1	S208	barcode01	27F	1492R	MIN_16_2025-1-23	5.1	0.8
HER-18-MGE-S209	DNA1-HER-18-MGE	HER-18-MGE	CM011	2	S209	barcode02	27F	1492R	MIN_16_2025-1-23	2.77	1.5
KUB-18-MGE-S210	DNA1-KUB-18-MGE	KUB-18-MGE	CM011	3	S210	barcode03	27F	1492R	MIN_16_2025-1-23	4.61	0.9
GIN-18-MGE-S211	DNA1-GIN-18-MGE	GIN-18-MGE	CM011	4	S211	barcode04	27F	1492R	MIN_16_2025-1-23	4.95	0.8
KOR-22-MGE-S212	DNA1-KOR-22-MGE	KOR-22-MGE	CM011	5	S212	barcode05	27F	1492R	MIN_16_2025-1-23	1.97	2
MAR-22-MGE-S213	DNA1-MAR-22-MGE	MAR-22-MGE	CM011	6	S213	barcode06	27F	1492R	MIN_16_2025-1-23	2.72	1.5
GOO-24-MGE-S214	DNA1-GOO-24-MGE	GOO-24-MGE	CM011	7	S214	barcode07	27F	1492R	MIN_16_2025-1-23	2.18	1.8
HEN-24-MGE-S215	DNA1-HEN-24-MGE	HEN-24-MGE	CM011	8	S215	barcode08	27F	1492R	MIN_16_2025-1-23	3.37	1.2
HER-41-MGE-S216	DNA1-HER-41-MGE	HER-41-MGE	CM011	9	S216	barcode09	27F	1492R	MIN_16_2025-1-23	4.61	0.9
GIN-41-MGE-S217	DNA1-GIN-41-MGE	GIN-41-MGE	CM011	10	S217	barcode10	27F	1492R	MIN_16_2025-1-23	2.2	1.8
IVY-42-MGE-S218	DNA1-IVY-42-MGE	IVY-42-MGE	CM011	11	S218	barcode11	27F	1492R	MIN_16_2025-1-23	8.2	0.5
HAM-45-MGE-S219	DNA1-HAM-45-MGE	HAM-45-MGE	CM011	12	S219	barcode12	27F	1492R	MIN_16_2025-1-23	6.4	0.6
BUD-45-MGE-S220	DNA1-BUD-45-MGE	BUD-45-MGE	CM011	13	S220	barcode13	27F	1492R	MIN_16_2025-1-23	5.9	0.7
HEN-45-MGE-S221	DNA1-HEN-45-MGE	HEN-45-MGE	CM011	14	S221	barcode14	27F	1492R	MIN_16_2025-1-23	4.07	1
MAR-46-MGE-S222	DNA1-MAR-46-MGE	MAR-46-MGE	CM011	15	S222	barcode15	27F	1492R	MIN_16_2025-1-23	3.27	1.2
JAR-48-MGE-S223	DNA1-JAR-48-MGE	JAR-48-MGE	CM011	16	S223	barcode16	27F	1492R	MIN_16_2025-1-23	1.79	2.2
IVY-48-MGE-S224	DNA1-IVY-48-MGE	IVY-48-MGE	CM011	17	S224	barcode17	27F	1492R	MIN_16_2025-1-23	8.4	0.5
OPH-50-MGE-S225	DNA1-OPH-50-MGE	OPH-50-MGE	CM011	18	S225	barcode18	27F	1492R	MIN_16_2025-1-23	5.1	0.8
CHA-52-MGE-S226	DNA1-CHA-52-MGE	CHA-52-MGE	CM011	19	S226	barcode19	27F	1492R	MIN_16_2025-1-23	3.25	1.2
HER-7-MGE-S227	DNA1-HER-7-MGE	HER-7-MGE	CM011	20	S227	barcode20	27F	1492R	MIN_16_2025-1-23	6.9	0.6
KOR-9-MGE-S228	DNA1-KOR-9-MGE	KOR-9-MGE	CM011	21	S228	barcode21	27F	1492R	MIN_16_2025-1-23	5.3	0.8
GRO-9-MGE-S229	DNA1-GRO-9-MGE	GRO-9-MGE	CM011	22	S229	barcode22	27F	1492R	MIN_16_2025-1-23	4.57	0.9
JAR-11-MGE-S230	DNA1-JAR-11-MGE	JAR-11-MGE	CM011	23	S230	barcode23	27F	1492R	MIN_16_2025-1-23	4.52	0.9
CM-NTC-011	NTC	NTC11	CM011	24	CTRL	barcode24	27F	1492R	MIN_16_2025-1-23	0.679	5.9
JOA-11-MGE-S231	DNA1-JOA-11-MGE	JOA-11-MGE	CM012	1	S231	barcode01	27F	1492R	MIN_16_2025-2-21	3.55	1.1
BUD-17-MGE-S232	DNA1-BUD-17-MGE	BUD-17-MGE	CM012	2	S232	barcode02	27F	1492R	MIN_16_2025-2-21	4.96	0.8
IRI-18-MGE-S233	DNA1-IRI-18-MGE	IRI-18-MGE	CM012	3	S233	barcode03	27F	1492R	MIN_16_2025-2-21	3.65	1.1
IVY-18-MGE-S234	DNA1-IVY-18-MGE	IVY-18-MGE	CM012	4	S234	barcode04	27F	1492R	MIN_16_2025-2-21	7.8	0.5
HAM-20-MGE-S235	DNA1-HAM-20-MGE	HAM-20-MGE	CM012	5	S235	barcode05	27F	1492R	MIN_16_2025-2-21	2.37	1.7
OPH-20-MGE-S236	DNA1-OPH-20-MGE	OPH-20-MGE	CM012	6	S236	barcode06	27F	1492R	MIN_16_2025-2-21	4.17	1
KUB-22-MGE-S237	DNA1-KUB-22-MGE	KUB-22-MGE	CM012	7	S237	barcode07	27F	1492R	MIN_16_2025-2-21	3.66	1.1
HEN-22-MGE-S238	DNA1-HEN-22-MGE	HEN-22-MGE	CM012	8	S238	barcode08	27F	1492R	MIN_16_2025-2-21	4.24	0.9
WOL-24-MGE-S239	DNA1-WOL-24-MGE	WOL-24-MGE	CM012	9	S239	barcode09	27F	1492R	MIN_16_2025-2-21	7.3	0.6
GIN-24-MGE-S240	DNA1-GIN-24-MGE	GIN-24-MGE	CM012	10	S240	barcode10	27F	1492R	MIN_16_2025-2-21	3.37	1.2
GIN-42-MGE-S241	DNA1-GIN-42-MGE	GIN-42-MGE	CM012	11	S241	barcode11	27F	1492R	MIN_16_2025-2-21	8.5	0.5
KUB-45-MGE-S242	DNA1-KUB-45-MGE	KUB-45-MGE	CM012	12	S242	barcode12	27F	1492R	MIN_16_2025-2-21	0.798	5
HAM-46-MGE-S243	DNA1-HAM-46-MGE	HAM-46-MGE	CM012	13	S243	barcode13	27F	1492R	MIN_16_2025-2-21	6.5	0.6
WOL-48-MGE-S244	DNA1-WOL-48-MGE	WOL-48-MGE	CM012	14	S244	barcode14	27F	1492R	MIN_16_2025-2-21	4.52	0.9
KUB-49-MGE-S245	DNA1-KUB-49-MGE	KUB-49-MGE	CM012	15	S245	barcode15	27F	1492R	MIN_16_2025-2-21	7.7	0.5
JAR-52-MGE-S246	DNA1-JAR-52-MGE	JAR-52-MGE	CM012	16	S246	barcode16	27F	1492R	MIN_16_2025-2-21	3.02	1.3
IRI-55-MGE-S247	DNA1-IRI-55-MGE	IRI-55-MGE	CM012	17	S247	barcode17	27F	1492R	MIN_16_2025-2-21	5.6	0.7
IVY-55-MGE-S248	DNA1-IVY-55-MGE	IVY-55-MGE	CM012	18	S248	barcode18	27F	1492R	MIN_16_2025-2-21	1.75	2.3
JAR-18-MGE-S249	DNA1-JAR-18-MGE	JAR-18-MGE	CM012	19	S249	barcode19	27F	1492R	MIN_16_2025-2-21	3.28	1.2
BUD-18-MGE-S250	DNA1-BUD-18-MGE	BUD-18-MGE	CM012	20	S250	barcode20	27F	1492R	MIN_16_2025-2-21	8	0.5
WOL-19-MGE-S251	DNA1-WOL-19-MGE	WOL-19-MGE	CM012	21	S251	barcode21	27F	1492R	MIN_16_2025-2-21	4.14	1
IVY-19-MGE-S252	DNA1-IVY-19-MGE	IVY-19-MGE	CM012	22	S252	barcode22	27F	1492R	MIN_16_2025-2-21	4.51	0.9
IRI-20-MGE-S253	DNA1-IRI-20-MGE	IRI-20-MGE	CM012	23	S253	barcode23	27F	1492R	MIN_16_2025-2-21	4.52	0.9
CM-NTC-012	NTC	NTC12	CM012	24	CTRL	barcode24	27F	1492R	MIN_16_2025-2-21	0.854	4.7
HER-37-MGE-S254	DNA1-HER-37-MGE	HER-37-MGE	CM013	1	S254	barcode01	27F	1492R	MIN_16_2025-4-1	6.8	0.6
GIN-20-MGE-S255	DNA1-GIN-20-MGE	GIN-20-MGE	CM013	2	S255	barcode02	27F	1492R	MIN_16_2025-4-1	3.52	1.1
HAM-21-MGE-S256	DNA1-HAM-21-MGE	HAM-21-MGE	CM013	3	S256	barcode03	27F	1492R	MIN_16_2025-4-1	5.6	0.7
BUD-21-MGE-S257	DNA1-BUD-21-MGE	BUD-21-MGE	CM013	4	S257	barcode04	27F	1492R	MIN_16_2025-4-1	5.4	0.7
HER-22-MGE-S258	DNA1-HER-22-MGE	HER-22-MGE	CM013	5	S258	barcode05	27F	1492R	MIN_16_2025-4-1	1.61	2.5
JOA-22-MGE-S259	DNA1-JOA-22-MGE	JOA-22-MGE	CM013	6	S259	barcode06	27F	1492R	MIN_16_2025-4-1	4.32	0.9
KOR-23-MGE-S260	DNA1-KOR-23-MGE	KOR-23-MGE	CM013	7	S260	barcode07	27F	1492R	MIN_16_2025-4-1	3.8	1.1
OPH-24-MGE-S261	DNA1-OPH-24-MGE	OPH-24-MGE	CM013	8	S261	barcode08	27F	1492R	MIN_16_2025-4-1	2.81	1.4
FRA-24-MGE-S262	DNA1-FRA-24-MGE	FRA-24-MGE	CM013	9	S262	barcode09	27F	1492R	MIN_16_2025-4-1	4.89	0.8
KUB-25-MGE-S263	DNA1-KUB-25-MGE	KUB-25-MGE	CM013	10	S263	barcode10	27F	1492R	MIN_16_2025-4-1	4.58	0.9
HEN-25-MGE-S264	DNA1-HEN-25-MGE	HEN-25-MGE	CM013	11	S264	barcode11	27F	1492R	MIN_16_2025-4-1	5.2	0.8
GIN-44-MGE-S265	DNA1-GIN-44-MGE	GIN-44-MGE	CM013	12	S265	barcode12	27F	1492R	MIN_16_2025-4-1	7.7	0.5
KOR-45-MGE-S266	DNA1-KOR-45-MGE	KOR-45-MGE	CM013	13	S266	barcode13	27F	1492R	MIN_16_2025-4-1	4.24	0.9
MAR-47-MGE-S267	DNA1-MAR-47-MGE	MAR-47-MGE	CM013	14	S267	barcode14	27F	1492R	MIN_16_2025-4-1	5.8	0.7
JOA-48-MGE-S268	DNA1-JOA-48-MGE	JOA-48-MGE	CM013	15	S268	barcode15	27F	1492R	MIN_16_2025-4-1	5.2	0.8
IRI-49-MGE-S269	DNA1-IRI-49-MGE	IRI-49-MGE	CM013	16	S269	barcode16	27F	1492R	MIN_16_2025-4-1	1.88	2.1
HEN-49-MGE-S270	DNA1-HEN-49-MGE	HEN-49-MGE	CM013	17	S270	barcode17	27F	1492R	MIN_16_2025-4-1	6.4	0.6
WOL-50-MGE-S271	DNA1-WOL-50-MGE	WOL-50-MGE	CM013	18	S271	barcode18	27F	1492R	MIN_16_2025-4-1	6.8	0.6
IVY-50-MGE-S272	DNA1-IVY-50-MGE	IVY-50-MGE	CM013	19	S272	barcode19	27F	1492R	MIN_16_2025-4-1	8.6	0.5
LAM-51-MGE-S273	DNA1-LAM-51-MGE	LAM-51-MGE	CM013	20	S273	barcode20	27F	1492R	MIN_16_2025-4-1	1.87	2.1
FRA-51-MGE-S274	DNA1-FRA-51-MGE	FRA-51-MGE	CM013	21	S274	barcode21	27F	1492R	MIN_16_2025-4-1	4.08	1
GOO-52-MGE-S275	DNA1-GOO-52-MGE	GOO-52-MGE	CM013	22	S275	barcode22	27F	1492R	MIN_16_2025-4-1	8.8	0.5
KUB-53-MGE-S276	DNA1-KUB-53-MGE	KUB-53-MGE	CM013	23	S276	barcode23	27F	1492R	MIN_16_2025-4-1	5.4	0.7
CM-NTC-013	NTC	NTC13	CM013	24	CTRL	barcode24	27F	1492R	MIN_16_2025-4-1	0.628	6.4
GIN-36-MGE-S277	DNA1-GIN-36-MGE	GIN-36-MGE	CM014	1	S277	barcode01	27F	1492R	MIN_16_2025-4-2	3.48	1.2
GRO-48-MGE-S278	DNA1-GRO-48-MGE	GRO-48-MGE	CM014	2	S278	barcode02	27F	1492R	MIN_16_2025-4-2	7.7	0.5
FRA-37-MGE-S279	DNA1-FRA-37-MGE	FRA-37-MGE	CM014	3	S279	barcode03	27F	1492R	MIN_16_2025-4-2	3.46	1.2
LAM-42-MGE-S280	DNA1-LAM-42-MGE	LAM-42-MGE	CM014	4	S280	barcode04	27F	1492R	MIN_16_2025-4-2	3.83	1
KUB-17-MGE-S281	DNA1-KUB-17-MGE	KUB-17-MGE	CM014	5	S281	barcode05	27F	1492R	MIN_16_2025-4-2	1.47	2.7
PAD-17-MGE-S282	DNA1-PAD-17-MGE	PAD-17-MGE	CM014	6	S282	barcode06	27F	1492R	MIN_16_2025-4-2	0.87	4.6
HER-20-MGE-S283	DNA1-HER-20-MGE	HER-20-MGE	CM014	7	S283	barcode07	27F	1492R	MIN_16_2025-4-2	2.4	1.7
MAR-45-MGE-S284	DNA1-MAR-45-MGE	MAR-45-MGE	CM014	8	S284	barcode08	27F	1492R	MIN_16_2025-4-2	5.6	0.7
JOA-45-MGE-S285	DNA1-JOA-45-MGE	JOA-45-MGE	CM014	9	S285	barcode09	27F	1492R	MIN_16_2025-4-2	3.84	1
CHA-48-MGE-S286	DNA1-CHA-48-MGE	CHA-48-MGE	CM014	10	S286	barcode10	27F	1492R	MIN_16_2025-4-2	1.61	2.5
IRI-14-MGE-S287	DNA1-IRI-14-MGE	IRI-14-MGE	CM014	11	S287	barcode11	27F	1492R	MIN_16_2025-4-2	7.5	0.5
